,x1,x1_s,x2,x3,x3_s,x4,y
1,53956.20786,0.069436126,1,66,-1.136964387,0,0
2,85710.71876,0.722096819,1,98,1.594781714,1,0
3,13751.62534,-0.756901612,1,83,0.314275729,1,1
4,4046.815779,-0.95636769,1,80,0.058174532,0,0
5,28111.2079,-0.461764485,1,66,-1.136964387,1,0
6,47309.98616,-0.06716581,0,93,1.167946386,0,1
7,55892.65399,0.109236527,0,80,0.058174532,0,0
8,12183.29923,-0.789135924,1,86,0.570376926,1,1
9,11960.182,-0.793721724,1,95,1.338680517,1,0
10,65659.87803,0.30998543,0,82,0.228908663,1,0
11,138859.7699,1.814486391,1,94,1.253313452,0,1
12,63650.7235,0.268690629,1,74,-0.454027862,1,0
13,99515.36101,1.005828079,1,81,0.143541598,0,1
14,57229.6055,0.136715322,1,77,-0.197926665,1,0
15,49906.62586,-0.013796237,0,96,1.424047583,1,0
16,35010.63078,-0.319958424,0,97,1.509414649,1,0
17,99996.97497,1.015726846,1,68,-0.966230256,1,0
18,77664.41288,0.556718502,0,65,-1.222331453,1,0
19,54076.12347,0.07190079,0,67,-1.051597322,1,0
20,30071.88353,-0.421466087,0,86,0.570376926,0,0
21,73878.80035,0.478911588,0,80,0.058174532,0,0
22,42737.3935,-0.16114778,0,67,-1.051597322,1,0
23,23032.1527,-0.566155943,1,65,-1.222331453,1,0
24,17431.95818,-0.681258545,1,74,-0.454027862,0,0
25,129337.7428,1.618777101,1,89,0.826478123,0,1
26,10547.25456,-0.822762077,0,88,0.741111057,1,1
27,59965.19369,0.192940748,0,75,-0.368660796,0,0
28,27061.61706,-0.483337064,1,69,-0.88086319,1,0
29,8096.258292,-0.873138193,0,59,-1.734533847,0,1
30,1475.450164,-1.009217795,1,91,0.997212255,0,1
31,4280.781653,-0.951558914,0,72,-0.624761993,1,0
32,45346.75902,-0.10751665,1,77,-0.197926665,1,0
33,7751.352189,-0.880227159,0,69,-0.88086319,1,1
34,51685.91058,0.022773975,0,76,-0.283293731,0,0
35,214410.8327,3.367311726,0,72,-0.624761993,0,1
36,44536.69189,-0.12416622,0,80,0.058174532,0,0
37,6237.531169,-0.91134121,0,62,-1.47843265,0,1
38,25291.75873,-0.519713532,1,60,-1.649166781,1,0
39,24044.17398,-0.545355544,1,85,0.48500986,1,1
40,100029.6874,1.016399195,0,67,-1.051597322,1,1
41,87891.5091,0.766919306,0,95,1.338680517,1,0
42,229618.3193,3.679876099,1,79,-0.027192534,1,1
43,89919.0341,0.808591681,0,80,0.058174532,0,1
44,51330.58312,0.015470815,1,89,0.826478123,1,0
45,17530.11995,-0.679240995,1,66,-1.136964387,1,1
46,42829.40388,-0.159256661,0,66,-1.136964387,1,1
47,100626.8541,1.028672956,0,89,0.826478123,0,1
48,5047.070572,-0.93580913,0,67,-1.051597322,1,1
49,60544.69105,0.204851344,1,95,1.338680517,1,0
50,25381.77324,-0.517863435,0,75,-0.368660796,1,0
51,28818.18968,-0.447233661,0,94,1.253313452,0,0
52,10383.29212,-0.82613205,0,88,0.741111057,0,1
53,10416.18376,-0.825456017,0,70,-0.795496125,0,1
54,28783.80676,-0.447940344,0,93,1.167946386,1,0
55,122155.6551,1.471161338,1,92,1.08257932,1,0
56,24.0452974,-1.039048987,1,67,-1.051597322,0,0
57,36142.8584,-0.296687385,0,63,-1.393065584,1,1
58,97503.96544,0.964487218,1,76,-0.283293731,1,0
59,121645.4549,1.460675029,0,63,-1.393065584,1,0
60,11565.1299,-0.801841357,1,65,-1.222331453,1,1
61,31168.96667,-0.398917384,0,64,-1.307698519,1,0
62,40232.02033,-0.212641522,0,74,-0.454027862,1,0
63,197650.9127,3.022839691,1,69,-0.88086319,1,1
64,6978.118629,-0.896119678,0,85,0.48500986,1,1
65,108102.5289,1.182322909,0,94,1.253313452,0,0
66,87070.09973,0.750036614,0,90,0.911845189,0,0
67,58071.58686,0.154020837,0,76,-0.283293731,1,0
68,47401.32018,-0.065288592,0,99,1.68014878,1,0
69,171857.835,2.492706255,1,67,-1.051597322,1,1
70,32424.92606,-0.373103246,1,97,1.509414649,1,0
71,82561.28226,0.657365437,1,83,0.314275729,1,0
72,16231.95813,-0.705922533,0,76,-0.283293731,1,0
73,29683.68502,-0.429444856,1,68,-0.966230256,1,0
74,12642.49781,-0.779697867,0,69,-0.88086319,1,1
75,79953.59068,0.603768711,0,68,-0.966230256,0,0
76,6943.677283,-0.896827562,0,75,-0.368660796,1,1
77,62552.16454,0.246111593,1,71,-0.710129059,1,0
78,84985.88949,0.70719917,1,63,-1.393065584,1,0
79,30283.67038,-0.417113164,1,76,-0.283293731,1,0
80,29132.91499,-0.44076501,1,98,1.594781714,1,1
81,222767.1215,3.539061223,0,71,-0.710129059,1,1
82,9168.632189,-0.851097347,0,74,-0.454027862,0,1
83,36124.81908,-0.297058152,1,86,0.570376926,1,0
84,12982.75255,-0.772704502,1,70,-0.795496125,1,0
85,28695.74539,-0.449750298,1,86,0.570376926,1,0
86,35365.26081,-0.312669598,1,74,-0.454027862,1,0
87,13435.31032,-0.763402936,1,80,0.058174532,1,0
88,7609.731289,-0.883137939,1,73,-0.539394928,1,1
89,58212.05382,0.156907899,1,77,-0.197926665,1,0
90,25157.08639,-0.522481496,1,82,0.228908663,1,0
91,153422.7796,2.113804622,1,72,-0.624761993,1,1
92,24065.68406,-0.54491344,0,94,1.253313452,1,1
93,40924.21548,-0.198414612,0,60,-1.649166781,1,0
94,70767.55724,0.414965206,1,73,-0.539394928,1,1
95,14257.96733,-0.746494602,1,90,0.911845189,0,1
96,74988.97379,0.501729341,0,64,-1.307698519,1,0
97,98025.18002,0.975199909,0,61,-1.563799716,1,0
98,84725.83769,0.701854242,0,62,-1.47843265,1,0
99,3451.546502,-0.968602451,1,91,0.997212255,1,1
100,1591.575409,-1.006831036,1,61,-1.563799716,1,1
101,51861.29757,0.02637876,0,99,1.68014878,1,1
102,9505.097917,-0.844181858,1,68,-0.966230256,1,0
103,7026.72638,-0.895120627,1,97,1.509414649,1,1
104,39008.72585,-0.237784288,1,92,1.08257932,1,1
105,115470.129,1.333751566,0,88,0.741111057,1,0
106,15706.1257,-0.716730136,1,98,1.594781714,1,1
107,43287.83515,-0.149834375,0,67,-1.051597322,1,0
108,186896.6489,2.801803843,1,84,0.399642795,0,1
109,253018.6438,4.160830507,0,80,0.058174532,1,1
110,156917.5087,2.185632915,1,96,1.424047583,1,1
111,21439.09122,-0.598898649,0,86,0.570376926,1,1
112,37888.21385,-0.260814532,1,81,0.143541598,0,0
113,35762.60288,-0.304502899,1,95,1.338680517,1,1
114,32617.59439,-0.369143271,1,70,-0.795496125,1,0
115,97144.64405,0.95710197,0,88,0.741111057,1,1
116,4373.192624,-0.949659561,1,76,-0.283293731,1,1
117,33998.81641,-0.34075457,1,90,0.911845189,0,0
118,44050.45225,-0.13416006,0,66,-1.136964387,1,0
119,63611.3137,0.267880627,1,65,-1.222331453,1,0
120,14176.43302,-0.748170403,1,68,-0.966230256,1,0
121,8222.726849,-0.870538844,1,75,-0.368660796,1,1
122,58431.03952,0.161408783,1,91,0.997212255,1,0
123,9531.816444,-0.843632704,1,79,-0.027192534,0,1
124,930.062318,-1.020427328,1,67,-1.051597322,0,1
125,18378.87994,-0.661796157,0,87,0.655743992,1,1
126,21517.44319,-0.597288255,1,74,-0.454027862,1,0
127,140600.7636,1.850269597,1,97,1.509414649,1,1
128,92701.19692,0.865774369,1,93,1.167946386,0,0
129,15880.67785,-0.71314251,0,64,-1.307698519,1,1
130,146975.4592,1.981290767,0,67,-1.051597322,1,1
131,35975.34057,-0.300130433,1,82,0.228908663,1,0
132,53670.08555,0.063555362,1,96,1.424047583,1,0
133,3553.863568,-0.966499495,1,85,0.48500986,1,1
134,30630.5876,-0.409982862,0,87,0.655743992,0,1
135,19620.09324,-0.6362851,1,92,1.08257932,1,1
136,28801.49708,-0.447576749,0,65,-1.222331453,0,1
137,8250.637236,-0.869965193,0,60,-1.649166781,0,1
138,43865.28348,-0.137965894,1,72,-0.624761993,1,0
